time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
1.15,5.32616879,-2.73555124,-1.25244189,0.57784706,1.02972915,0.04957268,-16.64434039,4.82119263,-1.10708802,-3.90564309,10.20846776,0.00000114,0,19.19741833,-4.70299981,-8.95902984,-10.94132828,-1.25807381,0.00000338,0,-23.20730362,2.7286292,3.23198925
1.16666667,5.31994461,-3.03178977,-1.61947907,0.57753095,1.02651905,0.04938111,-18.05222688,4.94372738,-0.53986851,-3.5033479,10.64502663,0.00000114,0,18.68556804,-4.65004806,-7.37811273,-6.5260679,-1.00701637,0.00000334,0,-23.3334109,2.70233089,3.1890131
1.18333333,5.47983606,-3.35225714,-2.18256257,0.57706485,1.0237051,0.04897327,-19.40714169,4.94866677,0.16273883,-3.54890872,11.14001127,0.00000116,0,18.09015948,-4.77638507,-6.08424487,-3.24930922,-0.60034292,0.0000033,0,-23.47890525,2.7205165,3.82995373
1.2,5.41982173,-3.45773691,-2.45453649,0.5774246,1.02071558,0.04848116,-20.60143193,4.83720986,0.49921446,-3.49933767,11.48611362,0.0000014,0,17.90238886,-4.68881183,-4.92067857,-1.28106629,-0.22723685,0.00000326,0,-23.41969929,2.50604504,3.5409208
1.21666667,5.58591971,-3.5583117,-2.70643894,0.57704818,1.01854527,0.04769643,-21.63115903,4.67998659,0.85325592,-4.15413036,11.92108129,0.00000155,0,17.91373185,-4.62339416,-4.10985697,-1.13346857,0.1182832,0.00000333,0,-23.68683885,2.23502685,3.63709144
1.23333333,5.6954215,-3.49468041,-3.03070825,0.57741358,1.0167378,0.04666819,-22.50314668,4.30284072,1.26527554,-5.01399583,12.28674551,0.0000019,0,18.08186825,-4.40251292,-3.7068392,-2.21418139,0.15697808,0.00000345,0,-23.71991808,1.78338266,3.55111381
1.25,5.62437432,-3.36496517,-3.6186228,0.57889368,1.0153238,0.04502845,-23.01185098,3.70746565,1.86003953,-6.30126631,12.54939972,0.00000236,0,18.42643052,-4.15898378,-3.74298369,-4.194403,-0.2042098,0.00000353,0,-23.49198809,1.32650158,3.68796373
1.26666667,5.51179859,-3.13750408,-3.63414762,0.58110228,1.01405257,0.04312872,-23.31497532,3.26928695,1.90384024,-7.94829797,12.71111364,0.00000286,0,19.01945735,-3.69717409,-3.45877263,-6.90678759,-0.95277884,0.00000387,0,-23.06426155,0.83488139,3.44490667
1.28333333,5.32776912,-3.34112498,-3.79832019,0.58212231,1.01320283,0.0417642,-23.07429693,3.251812,2.14525881,-10.39075609,12.67314284,0.0000034,0,19.60967377,-3.79462425,-3.37234485,-9.5792713,-2.07553985,0.00000408,0,-22.87561768,0.62844287,3.35139923
1.3,5.25065328,-3.23853833,-4.00004481,0.58473828,1.01310738,0.04016773,-22.98558608,2.86875914,2.20863763,-12.78768333,12.13619093,0.00000416,0,19.96072894,-3.61825059,-3.57737172,-12.30108233,-2.95289745,0.0000044,0,-22.53017949,0.01524675,3.18275268
1.31666667,5.43721649,-3.0537681,-4.16526694,0.58788579,1.01397219,0.03834863,-22.62864279,2.39435534,2.13982126,-16.19866287,11.31018605,0.00000496,0,19.8253366,-3.35909209,-3.90892062,-14.75707884,-3.52776154,0.00000488,0,-22.43732505,-0.61302966,2.81983058
